date,max_rainall_in_day,no_of_rainy_days,total_rainfall,temp_mean_daily_min,year,month,mean_sunshine_hrs,mean_relative_humidity,wet_bulb_temperature
1990-04-01,12.0,10,52.4,25.3,1990,4,6.3,81.2,25.885972222222225
1990-05-01,153.7,11,180.1,25.6,1990,5,6.5,81.1,25.933064516129033
1990-06-01,76.1,9,112.6,25.4,1990,6,6.3,80.7,25.693888888888885
1990-07-01,44.5,12,124.0,24.6,1990,7,5.9,82.7,25.131048387096776
1990-08-01,38.3,13,146.6,25.1,1990,8,5.8,82.3,25.5747311827957
1990-09-01,44.5,17,204.5,24.2,1990,9,5.1,83.2,24.9775
1990-10-01,20.2,12,56.4,24.9,1990,10,5.9,83.5,25.24516129032258
1990-11-01,46.9,17,180.4,24.7,1990,11,4.6,83.5,24.983611111111113
1990-12-01,33.5,16,201.1,24.1,1990,12,5.5,86.0,24.47231182795699
1991-01-01,36.2,13,123.9,24.2,1991,1,5.6,84.1,24.58454301075269
1991-02-01,17.9,7,45.5,24.1,1991,2,7.0,81.6,24.620386904761908
1991-03-01,48.6,10,92.4,24.7,1991,3,7.1,79.9,25.046370967741936
1991-04-01,32.2,13,134.2,24.7,1991,4,5.8,84.3,25.61513888888889
1991-05-01,44.0,23,256.4,25.0,1991,5,5.1,86.6,25.91021505376344
1991-06-01,55.6,9,88.7,25.8,1991,6,7.1,81.0,25.97041666666667
1991-07-01,10.7,8,37.3,25.7,1991,7,6.7,78.7,25.533736559139783
1991-08-01,129.9,8,226.2,25.3,1991,8,5.3,79.8,25.4
1991-09-01,53.6,12,123.1,24.7,1991,9,4.1,83.0,25.269305555555558
1991-10-01,20.4,5,52.0,24.7,1991,10,4.2,81.4,24.985483870967744
1991-11-01,75.2,19,205.0,23.6,1991,11,3.5,86.5,24.49291666666667
1991-12-01,79.4,19,492.3,23.4,1991,12,3.0,90.7,24.43938172043011
1992-01-01,56.2,9,83.9,23.8,1992,1,6.6,82.4,24.29274193548387
1992-02-01,43.2,4,62.4,24.3,1992,2,7.7,80.5,24.784913793103446
1992-03-01,35.1,6,67.6,25.0,1992,3,7.4,80.6,25.50577956989247
1992-04-01,94.7,13,160.3,25.1,1992,4,6.4,82.4,25.965
1992-05-01,13.7,13,63.1,25.1,1992,5,5.7,83.3,25.8505376344086
1992-06-01,38.4,14,162.8,24.9,1992,6,5.5,82.7,25.671666666666663
1992-07-01,97.3,19,290.8,24.2,1992,7,4.7,83.8,25.1630376344086
1992-08-01,31.0,11,76.1,24.3,1992,8,5.7,81.1,25.18978494623656
1992-09-01,17.5,13,83.6,24.5,1992,9,5.0,82.9,25.035694444444445
1992-10-01,45.5,20,233.2,24.3,1992,10,4.5,82.0,24.988306451612903
1992-11-01,120.6,18,474.3,23.7,1992,11,3.7,87.7,24.479999999999997
1992-12-01,105.7,23,502.7,23.4,1992,12,3.4,90.3,24.283467741935485
1993-01-01,37.2,11,176.4,23.8,1993,1,5.5,85.7,24.335752688172043
1993-02-01,27.0,8,69.2,23.8,1993,2,8.5,80.5,24.083035714285714
1993-03-01,56.9,14,250.5,24.0,1993,3,5.4,86.3,24.861021505376343
1993-04-01,56.7,20,283.9,24.4,1993,4,6.4,84.5,25.485416666666666
1993-05-01,37.2,10,129.9,25.4,1993,5,6.0,82.9,25.850403225806453
1993-06-01,29.4,17,115.5,25.4,1993,6,6.2,80.9,25.831666666666667
1993-07-01,46.4,15,240.0,25.2,1993,7,5.2,83.2,25.60470430107527
1993-08-01,53.5,11,106.8,25.4,1993,8,7.4,79.4,25.729032258064517
1993-09-01,42.0,7,61.7,24.9,1993,9,5.9,81.4,25.335
1993-10-01,62.7,13,175.5,24.7,1993,10,5.2,84.3,25.36599462365591
1993-11-01,61.3,18,250.8,24.2,1993,11,4.7,87.4,25.185555555555553
1993-12-01,67.6,19,308.5,24.0,1993,12,4.2,87.4,24.86532258064516
1994-01-01,17.5,7,56.9,24.1,1994,1,6.1,82.1,24.526344086021503
1994-02-01,26.3,15,133.5,24.0,1994,2,6.4,84.5,24.952976190476193
1994-03-01,64.2,19,288.2,24.2,1994,3,3.5,87.1,25.100403225806453
1994-04-01,46.3,15,154.0,24.8,1994,4,5.8,84.8,25.803333333333335
1994-05-01,45.1,16,169.6,25.1,1994,5,5.0,84.8,26.023655913978494
1994-06-01,61.1,14,184.7,25.2,1994,6,6.0,83.5,25.833194444444448
1994-07-01,17.0,6,53.8,25.7,1994,7,7.6,78.9,25.547580645161293
1994-08-01,15.5,12,45.1,25.2,1994,8,6.5,80.0,25.402419354838713
1994-09-01,11.3,6,23.7,25.5,1994,9,3.8,78.7,25.410833333333333
1994-10-01,35.4,11,84.7,24.6,1994,10,4.5,81.5,25.294758064516127
1994-11-01,178.3,21,322.2,24.0,1994,11,4.5,88.4,25.15263888888889
1994-12-01,133.8,18,425.4,24.1,1994,12,5.3,85.5,24.94327956989247
1995-01-01,108.3,21,349.4,24.1,1995,1,5.0,86.2,24.95779569892473
1995-02-01,159.3,16,334.0,23.9,1995,2,4.9,87.5,24.79925595238095
1995-03-01,31.1,10,67.7,24.6,1995,3,5.9,83.9,25.396102150537637
1995-04-01,73.6,16,242.3,25.0,1995,4,5.6,85.3,25.946805555555557
1995-05-01,32.8,11,84.4,25.6,1995,5,6.0,83.7,26.279301075268815
1995-06-01,45.0,12,63.7,25.8,1995,6,6.6,81.9,26.335694444444446
1995-07-01,52.3,13,173.6,25.2,1995,7,5.2,82.6,25.65215053763441
1995-08-01,37.9,21,211.6,24.6,1995,8,4.1,85.6,25.47271505376344
1995-09-01,5.7,7,29.5,25.1,1995,9,5.8,81.6,25.764305555555556
1995-10-01,37.1,12,101.1,24.8,1995,10,4.7,82.8,25.463575268817205
1995-11-01,198.6,20,372.8,24.1,1995,11,3.7,86.8,25.218611111111112
1995-12-01,55.6,20,302.5,23.9,1995,12,3.1,86.6,24.549059139784948
1996-01-01,39.0,10,173.2,23.4,1996,1,5.2,84.2,24.08521505376344
1996-02-01,53.0,11,180.2,24.0,1996,2,5.8,84.6,24.44942528735632
1996-03-01,61.8,8,129.7,24.5,1996,3,7.7,81.0,25.12889784946237
1996-04-01,55.7,15,178.2,24.9,1996,4,5.4,85.5,25.83888888888889
1996-05-01,18.6,15,107.5,25.2,1996,5,7.0,83.7,26.278494623655916
1996-06-01,94.3,15,265.8,25.3,1996,6,5.9,84.3,26.14916666666667
1996-07-01,55.3,10,162.3,25.4,1996,7,6.7,81.9,25.853763440860217
1996-08-01,64.6,18,258.4,24.3,1996,8,5.0,83.4,25.179032258064517
1996-09-01,66.5,18,297.0,24.6,1996,9,4.8,82.2,25.317222222222224
1996-10-01,45.8,19,300.0,24.4,1996,10,4.3,83.0,25.179973118279573
1996-11-01,60.5,16,180.2,24.6,1996,11,4.4,83.5,25.067777777777778
1996-12-01,72.4,15,185.5,23.9,1996,12,4.5,82.9,24.34032258064516
1997-01-01,13.9,3,15.4,24.0,1997,1,7.7,77.3,23.996774193548386
1997-02-01,35.7,8,105.4,24.5,1997,2,4.9,80.8,24.758482142857144
1997-03-01,17.4,10,34.3,24.9,1997,3,7.0,79.6,25.227688172043013
1997-04-01,44.6,12,118.4,25.0,1997,4,5.6,82.7,25.68263888888889
1997-05-01,35.6,6,41.6,26.3,1997,5,6.7,77.7,26.157526881720432
1997-06-01,25.0,12,78.9,26.0,1997,6,7.3,76.7,25.96847222222222
1997-07-01,5.4,9,18.6,26.0,1997,7,6.5,76.5,25.524327956989247
1997-08-01,61.4,9,86.6,25.9,1997,8,5.7,78.2,25.7252688172043
1997-09-01,24.3,3,31.1,26.3,1997,9,3.2,77.0,25.580277777777777
1997-10-01,36.5,8,78.4,25.1,1997,10,3.2,81.0,25.561693548387098
1997-11-01,53.6,13,158.3,24.8,1997,11,5.4,82.8,25.43972222222222
1997-12-01,65.8,23,351.9,24.6,1997,12,5.3,85.3,25.358467741935485
1998-01-01,79.7,13,268.8,25.3,1998,1,7.4,83.2,25.736424731182797
1998-02-01,11.9,5,32.5,25.9,1998,2,8.9,78.3,25.87827380952381
1998-03-01,20.9,7,58.8,26.3,1998,3,7.6,77.8,26.263440860215052
1998-04-01,64.9,13,187.7,26.3,1998,4,6.7,81.8,26.697222222222223
1998-05-01,83.7,18,370.8,26.3,1998,5,5.9,82.3,26.913978494623656
1998-06-01,42.8,15,198.8,25.4,1998,6,5.3,82.1,26.106944444444444
1998-07-01,55.8,18,259.2,24.9,1998,7,5.1,81.8,25.640860215053763
1998-08-01,35.5,18,195.0,24.7,1998,8,4.6,85.4,25.504435483870967
1998-09-01,52.0,17,258.2,24.9,1998,9,4.5,84.1,25.755277777777778
1998-10-01,32.4,20,222.7,24.6,1998,10,5.0,82.3,25.591397849462364
1998-11-01,57.5,11,107.2,24.9,1998,11,4.6,81.9,25.448749999999997
1998-12-01,84.4,22,463.4,24.2,1998,12,3.1,88.5,25.08508064516129
1999-01-01,52.5,19,193.9,24.3,1999,1,3.9,88.3,25.05483870967742
1999-02-01,32.1,9,67.4,24.5,1999,2,6.7,82.4,24.86636904761905
1999-03-01,52.4,16,181.4,24.4,1999,3,4.3,87.5,25.45228494623656
1999-04-01,29.2,14,88.5,25.4,1999,4,5.8,82.6,25.886805555555554
1999-05-01,42.8,13,157.1,25.3,1999,5,5.7,84.4,25.910618279569892
1999-06-01,34.5,13,103.4,25.3,1999,6,6.0,81.9,25.735972222222223
1999-07-01,51.4,11,225.4,24.7,1999,7,6.8,82.7,25.40255376344086
1999-08-01,42.4,13,204.0,24.5,1999,8,5.7,84.1,25.37244623655914
1999-09-01,41.5,13,125.9,24.9,1999,9,6.5,81.7,25.40402777777778
1999-10-01,32.8,20,205.0,24.3,1999,10,4.7,84.6,25.106182795698924
1999-11-01,39.0,19,241.5,24.5,1999,11,4.7,84.4,25.14402777777778
1999-12-01,76.9,17,340.5,24.1,1999,12,4.1,85.3,24.823924731182796
2000-01-01,127.6,14,275.2,23.9,2000,1,4.0,86.9,24.6377688172043
2000-02-01,39.9,18,237.8,23.8,2000,2,5.8,86.5,24.785344827586204
2000-03-01,37.9,15,238.3,24.3,2000,3,5.8,85.8,25.315188172043012
2000-04-01,87.4,20,311.6,24.6,2000,4,5.3,85.6,25.554305555555555
2000-05-01,36.7,10,96.8,25.7,2000,5,6.8,82.4,26.170698924731184
2000-06-01,41.7,16,157.5,24.7,2000,6,4.6,84.3,25.51236111111111
